title,release_date,genre
Doutor Estranho no Multiverso da Loucura,2022-05-05,"Fantasia,Ação, Aventura"
O Homem do Norte,2022-05-12,"Ação,Histórico"
365 Dias: Hoje,2022-04-27,"Drama,Romance,Erótico"
Sonic 2 - O Filme,2022-04-07,"Animação,Família,Aventura"
Jujutsu Kaisen 0: O Filme,2022-04-28,"Animação,Ação,Drama"
O Peso do Talento,2022-05-12,"Ação,Comédia"
Animais Fantásticos: Os Segredos de Dumbledore,2022-04-14,"Fantasia,Aventura"
Cidade Perdida,2022-04-21,"Comédia,Ação,Aventura"
Medida Provisória,2022-04-14,Drama
Homem-Aranha: Sem Volta para Casa,2021-12-16,"Ação,Aventura,Fantasia"
Thor: Amor e Trovão,2022-07-07,"Aventura,Ação,Ficção científica"
365 DNI,2021-11-30,"Drama,Erótico,Romance"
Batman,2022-03-03,"Ação,Policial,Suspense"
Morbius,2022-03-31,"Ação,Fantasia,Aventura"
Os Caras Malvados,2022-03-17,"Animação,Comédia,Aventura"
O Peso do Talento,2022-05-12,"Ação,Comédia"
Top Gun: Maverick,2022-05-26,Ação
Detetives do Prédio Azul 3 - Uma Aventura no Fim do Mundo,2022-04-21,"Aventura,Família"
Red: Crescer É uma Fera,2022-03-11,"Animação,Família,Comédia"
A Médium,2022-05-19,"Terror, Suspense"
Uncharted: Fora do Mapa,2022-02-17,"Aventura,Ação"
Encanto,2021-11-25,"Animação,Família,Fantasia"
Jurassic World Domínio,2022-06-02,"Ação,Aventura,Ficção científica"
Pantera Negra: Wakanda Para Sempre,2022-11-10,"Ação,Aventura,Fantasia"
Eduardo e Mônica,2022-01-20,"Drama,Comédia,Romance"
Crocodilos – A Morte Te Espera,2022-05-12,"Ação,Terror"
Tô Ryca 2,2022-02-03,Comédia
Meteoros,2022-05-06,Suspense
De Volta ao Baile,2022-05-13,Comédia
Super Tiras,2021-11-22,"Comédia ,Policial"
A Caminho do Verão,2022-05-06,"Romance,Drama"
Case Comigo,2022-02-10,"Comédia,Romance"
Águas Profundas,2022-03-18,"Suspense,Erótico"
Assassino Sem Rastro,2022-06-09,"Suspense,Ação"
DC Liga Dos Super Pets,2022-07-28,"Animação,Fantasia,Aventura"
Pureza,2022-05-19,"Drama,Biografia"
A Família Perfeita,2022-05-11,Comédia
Downton Abbey II: Uma Nova Era,2022-04-28,"Drama,Histórico"
Águas Selvagens,2022-05-12,Policial
Entre Irmãos,2022-01-30,Drama
Através da Minha Janela,2022-02-04,"Romance,Drama"
O Rei das Fugas,2022-05-12,"Drama,Ação,Comédia"
After 4 – Depois da Esperança,2022-08-25,"Drama,Romance"
A Voz do Empoderamento,2022-05-03,"Drama,Biografia"
"Não Se Preocupe, Querida",2022-09-22,"Suspense,Drama"
Mãos Talentosas – A História de Ben Carson,2022-04-25,"Drama,Biografia"
Morte no Nilo,2022-02-10,"Policial,Suspense"
A Vida Depois,2022-01-27,Drama
Anônimo,2022-03-17,Ação
Lua de Mel Com a Minha Mãe,2022-04-29,Comédia
Meu AmigãoZão - O Filme,2022-04-28,"Família,Animação,Aventura"
Benedetta,2022-01-13,"Drama,Histórico,Romance"
Arremessando Alto,2022-06-08,"Drama,Esporte"
Matrix: Resurrections,2021-12-22,"Ficção científica,Ação"
Amor & Gelato,2022-06-22,"Comédia,Drama,Romance"
King Richard: Criando Campeãs,2021-12-02,"Drama,Biografia"
A Pior Pessoa do Mundo,2022-03-24,"Drama,Comédia"
Chamas da Vingança,2022-05-19,"Suspense,Fantasia,Terror"
Não Olhe Para Cima,2021-12-09,Comédia
Pânico (2022),2022-01-13,"Terror,Suspense"
Pai Nosso?,2022-05-12,Documentário
Dog - A Aventura de Uma Vida,2022-05-19,Comédia dramática
Dois,2021-12-10,Suspense
Sing 2,2022-01-06,"Animação,Comédia Musical,Família"
O Projeto Adam,2022-03-11,"Ficção científica,Aventura,Ação"
Silverton: Cerco Fechado,2022-04-27,"Ação, Policial,Drama"
Vozes do Passado,2022-05-08,"Terror,Suspense,Drama"
A Fratura,2022-05-05,"Comédia dramática,Drama,Comédia"
Lightyear,2022-06-16,"Animação,Aventura,Comédia"
Moonfall - Ameaça Lunar,2022-02-03,"Ficção científica,Ação"
O Beco do Pesadelo,2022-01-27,"Drama,Suspense"
Sem Saída,2022-02-25,"Suspense,Terror"
Os Opostos Sempre Se Atraem,2022-05-06,"Comédia,Ação"
O Telefone Preto,2022-06-23,"Terror,Suspense"
Fresh,2022-03-04,"Suspense,Terror,Comédia"
Tudo em Todo Lugar ao Mesmo Tempo,2022-06-23,"Ficção científica,Ação,Comédia"
Elvis,2022-07-14,"Biografia,Musical"
Casa Gucci,2021-11-25,"Biografia,Drama"
Meia-Noite no Switchgrass,2022-04-29,"Suspense,Policial"
Todo Dia Uma Vida,2022-04-07,Romance
Adão Negro,2022-10-20,"Ação,Fantasia"
Agente das Sombras,2022-03-10,"Ação,Suspense"
Ambulância - Um Dia de Crime,2022-03-24,"Suspense,Ação"
Respire Fundo,2022-05-06,Drama
A Noite do Triunfo,2022-04-21,Comédia
Rápida e Mortal,2021-11-30,"Faroeste,Aventura,Ação"
Hotel Transilvânia 4: Transformonstrão,2022-01-14,"Animação,Família,Comédia"
Juntos e Enrolados,2022-01-13,Comédia
Ainda Estou Aqui,2022-02-11,"Romance,Drama,Ficção científica"
Predestinado - Arigó e o Espírito de Dr. Fritz,2022-09-01,Drama
Como Matar a Besta,2022-04-28,"Drama,Suspense,Fantasia"
